Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
21/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;21;Tuesday;Mardi;2;NO;YES;S2;2025-10;2025-W43
22/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;22;Wednesday;Mercredi;3;NO;YES;S2;2025-10;2025-W43
23/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;23;Thursday;Jeudi;4;NO;YES;S2;2025-10;2025-W43
24/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;24;Friday;Vendredi;5;NO;YES;S2;2025-10;2025-W43
25/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;25;Saturday;Samedi;6;YES;NO;S2;2025-10;2025-W43
26/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;26;Sunday;Dimanche;7;YES;NO;S2;2025-10;2025-W43
27/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;44;27;Monday;Lundi;1;NO;YES;S2;2025-10;2025-W44
28/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;44;28;Tuesday;Mardi;2;NO;YES;S2;2025-10;2025-W44
29/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;44;29;Wednesday;Mercredi;3;NO;YES;S2;2025-10;2025-W44
30/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;44;30;Thursday;Jeudi;4;NO;YES;S2;2025-10;2025-W44
31/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;44;31;Friday;Vendredi;5;NO;YES;S2;2025-10;2025-W44
